Category,Correlation
EDUCATION,0.98
MAPS_AND_NAVIGATION,0.95
WEATHER,0.93
EVENTS,0.92
BEAUTY,0.9
PERSONALIZATION,0.9
PARENTING,0.88
HOUSE_AND_HOME,0.88
COMICS,0.88
LIBRARIES_AND_DEMO,0.88
SHOPPING,0.88
DATING,0.87
TRAVEL_AND_LOCAL,0.86
SOCIAL,0.86
AUTO_AND_VEHICLES,0.84
PHOTOGRAPHY,0.83
VIDEO_PLAYERS,0.81
LIFESTYLE,0.8
BUSINESS,0.78
FOOD_AND_DRINK,0.74
SPORTS,0.74
GAME,0.73
MEDICAL,0.67
COMMUNICATION,0.67
ENTERTAINMENT,0.67
ART_AND_DESIGN,0.66
TOOLS,0.58
PRODUCTIVITY,0.56
FAMILY,0.54
NEWS_AND_MAGAZINES,0.46
BOOKS_AND_REFERENCE,0.43
FINANCE,0.43
HEALTH_AND_FITNESS,0.34
